CustomerID,FullName,Gender,Age,AgeGroup,State,City,AccountOpenedDate,AccountType,DematAccount,LastYearNewDemat,AnnualIncome,TransactionCountLast12m,TransactionValueLast12m,CreditScore,InvestmentType,EmploymentStatus,ProductType,CustomerSinceYears,FeedbackScore
CUST001,Shlok Bassi,Female,32,26-35,Madhya Pradesh,Akola,2021-08-22,Salary,Yes,Yes,2177981,240,3542473,499,None,Self-employed,Corporate Banking,4.2,7
CUST002,Shanaya Bains,Other,61,56-65,Maharashtra,Kirari Suleman Nagar,2022-08-14,NRI,Yes,Yes,1121681,91,3123454,487,Mutual Funds,Student,Corporate Banking,3.2,10
CUST003,Uthkarsh Ray,Female,38,36-45,West Bengal,Morena,2020-03-28,Savings,Yes,Yes,739302,401,2557889,516,FD,Student,Corporate Banking,5.6,5
CUST004,Neelofar Ben,Female,62,56-65,Delhi,Pali,2023-01-09,NRI,Yes,Yes,317670,398,4742418,698,Mutual Funds,Self-employed,Digital Only,2.8,7
CUST005,Zoya Krish,Male,64,56-65,Karnataka,Panvel,2022-03-24,Current,Yes,No,2094409,444,750442,884,FD,Self-employed,Retail Banking,3.6,2
CUST006,Jayesh Kakar,Female,66,65+,Bihar,Raipur,2023-01-22,Salary,Yes,No,1228446,296,3290939,900,Stocks,Salaried,Retail Banking,2.8,6
CUST007,Aarush Sha,Female,53,46-55,Maharashtra,Amroha,2021-06-06,Salary,No,No,2158487,451,1138047,877,None,Salaried,Corporate Banking,4.4,5
CUST008,Nayantara Trivedi,Other,58,56-65,Rajasthan,Bally,2024-08-31,Salary,Yes,No,988319,110,4906514,578,FD,Self-employed,Retail Banking,1.2,2
CUST009,Lakshit Kara,Male,55,46-55,Karnataka,Shimoga,2022-03-01,Salary,Yes,Yes,1268226,377,2337860,532,None,Self-employed,Retail Banking,3.7,6
CUST010,Alisha Raja,Male,56,56-65,Tamil Nadu,Kharagpur,2025-07-19,Savings,Yes,Yes,543412,393,2027006,823,Stocks,Student,Corporate Banking,0.3,5
CUST011,Seher Magar,Other,37,36-45,Delhi,Rewa,2024-07-10,NRI,Yes,Yes,513866,320,3002058,686,FD,Student,Retail Banking,1.3,4
CUST012,Ahana  Wadhwa,Female,35,26-35,Uttar Pradesh,Mango,2020-07-15,Salary,No,No,2246038,138,3380376,430,Mutual Funds,Retired,Retail Banking,5.3,6
CUST013,Faiyaz Sen,Male,33,26-35,Tamil Nadu,Srikakulam,2021-04-29,Current,Yes,No,838229,200,3787744,525,FD,Student,Corporate Banking,4.5,1
CUST014,Zeeshan D’Alia,Other,32,26-35,Maharashtra,Suryapet,2024-12-05,Salary,No,No,2242532,357,1262117,714,Stocks,Salaried,Corporate Banking,0.9,4
CUST015,Siya Taneja,Male,61,56-65,Uttar Pradesh,Pali,2025-05-05,Salary,No,No,1013199,329,3684389,447,Mutual Funds,Self-employed,Corporate Banking,0.5,10
CUST016,Stuvan Din,Female,63,56-65,Delhi,Orai,2021-12-08,Current,No,No,798595,445,3214338,660,Stocks,Retired,Digital Only,3.9,1
